"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.1 for 2021-2022 @t1","0"
"e"," ","","500","1941371","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","500","1941692","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","500","1941693","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"501","1941692","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","t","","501","1941765","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","t",,"502","1941765","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","h","","502","1941859","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","h",,"503","1941860","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","503","1941962","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"504","1941970","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","d","","504","1942004","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","d",,"505","1942004","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","(","","505","1942563","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",")","","506","1942564","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","(",,"506","1942564","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k",")",,"507","1942718","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","
","","158","1948455","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","f","","157","1948609","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","f",,"158","1948609","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","
f","156","1948625","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","
print(""\t4) Secant Method"")","","296","1948625","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","4) Secant","278","1948625","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","3) Newton's","","278","1948626","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","3) Newton's","248","1948625","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","2) Bisect","","248","1948626","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","2) Bisect Method","220","1948625","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","1) Fixed Point Iteration","","220","1948626","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","
print(""Methods"")","157","1948625","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","f 
","","157","1948626","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","\t1) Fixed Point Iteration","182","1948625","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","Methods","","182","1948626","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","158","1948788","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","r","","158","1948789","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","r",,"159","1948793","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","159","1948868","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"160","1948879","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","m","","160","1948924","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","m",,"161","1948944","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","161","1949071","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k"," ",,"162","1949073","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","M","","162","1949220","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","M",,"163","1949220","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","163","1949239","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","163","1949377","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","163","1949378","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"164","1949398","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","t","","164","1949434","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","t",,"165","1949444","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","h","","165","1949509","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","h",,"166","1949514","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","166","1949618","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"167","1949622","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","d","","167","1949653","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","d",,"168","1949656","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","s","","168","1949732","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","s",,"169","1949743","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",".","","169","1949873","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k",".",,"170","1949874","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","170","1949880","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","170","1950614","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","s","","170","1950615","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","s",,"171","1950624","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","171","1950744","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"172","1950757","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","cant","","172","1951563","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," import ","","176","1951571","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","s","","184","1953282","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","s",,"185","1953282","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","185","1953292","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","185","1953377","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","185","1953378","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"186","1953377","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","c","","186","1953556","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","c",,"187","1953571","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","antMethod","","187","1953820","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"c","print(""\t4) Secant Method"")",,"309","2781897","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","
","","338","2783698","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"p","print(""\t4) Secant Method"")",,"337","2784344","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","print(""\t4) Secant Method"")","","337","2784344","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","4","346","2786740","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","5","","346","2786819","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","5",,"347","2786819","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","347","2786853","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","347","2789041","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","d","361","2789041","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","o","360","2789548","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","h","359","2789579","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","t","358","2789613","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","e","357","2789677","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","M","356","2789683","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","355","2789706","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","t","354","2789743","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","n","353","2789849","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","a","352","2790029","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","c","351","2790180","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","e","350","2790331","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","S","349","2790493","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","N","","349","2791497","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","N",,"350","2791497","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","350","2791531","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","350","2791720","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","350","2791721","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"351","2791720","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","w","","351","2791896","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","w",,"352","2791897","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","t","","352","2792103","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","t",,"353","2792104","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","353","2792204","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"354","2792204","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","n","","354","2792324","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","n",,"355","2792324","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","355","2792433","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k"," ",,"356","2792433","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","B","","356","2794858","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","B",,"357","2794858","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","357","2794874","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","357","2795144","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","i","","357","2795145","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","i",,"358","2795144","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","s","","358","2795211","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","s",,"359","2795212","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","359","2795333","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"360","2795333","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","c","","360","2795702","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","c",,"361","2795703","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","t","","361","2795899","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","t",,"362","2795900","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","362","2796581","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k"," ",,"363","2796582","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","H","","363","2796963","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","H",,"364","2796965","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","364","2796976","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","364","2797197","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","y","","364","2797198","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","y",,"365","2797197","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","b","","365","2797221","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","b",,"366","2797223","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","r","","366","2797424","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","r",,"367","2797424","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","i","","367","2797557","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","i",,"368","2797557","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","d","","368","2797647","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","d",,"369","2797647","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","    
","","583","2800569","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","587","2800781","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"588","2800782","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","ybrid","364","2800796","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","364","2800797","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","","579","2800796","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","584","2800797","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","364","2800796","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","ybrid","","364","2800797","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","588","2800907","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","l","","588","2800908","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","l",,"589","2800931","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","l","588","2801259","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","e","587","2801403","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","586","2801562","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","   ","583","2801562","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","583","2802085","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"584","2802087","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","584","2802108","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","584","2802181","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","l","","584","2802182","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","l",,"585","2802181","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","585","2802185","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","585","2802363","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","i","","585","2802364","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","i",,"586","2802401","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","f","","586","2802460","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","f",,"587","2802497","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","587","2802647","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k"," ",,"588","2802648","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","c","","588","2803041","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","c",,"589","2803042","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","589","2803046","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","589","2803125","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","h","","589","2803126","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","h",,"590","2803141","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","590","2803165","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"591","2803198","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","i","","591","2803234","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","i",,"592","2803239","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","c","","592","2803314","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","c",,"593","2803314","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","593","2803365","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"594","2803381","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","594","2803575","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k"," ",,"595","2803577","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","=","","595","2804194","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","=",,"596","2804195","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","=","","596","2804299","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","=",,"597","2804299","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","597","2804586","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k"," ",,"598","2804586","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","5","","598","2804956","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","5",,"599","2804957","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",":","","599","2805342","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k",":",,"600","2805342","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","
","","601","2805552","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","    ","","601","2805560","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","n","","605","2808147","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","n",,"606","2808147","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","606","2808155","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","606","2808319","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","606","2808320","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"607","2808346","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","w","","607","2808421","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","w",,"608","2808440","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","t","","608","2808628","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","t",,"609","2808636","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","609","2808759","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"610","2808767","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","n","","610","2808867","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","n",,"611","2808867","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","H","","611","2809661","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","H",,"612","2809682","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","y","","612","2809936","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","y",,"613","2809937","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","b","","613","2810101","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","b",,"614","2810101","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","r","","614","2810277","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","r",,"615","2810281","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","i","","615","2810381","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","i",,"616","2810382","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","d","","616","2810484","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","d",,"617","2810484","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","(","","617","2811253","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",")","","618","2811255","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","(",,"618","2811255","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k",")",,"619","2811613","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","
","","198","2813936","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","f","","197","2814132","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","f",,"198","2814133","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","
f","196","2814150","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","
print(""\t5) Newton Bisect Hybrid"")","","371","2814150","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","5) Newton Bisect Hybri","346","2814150","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","4) Secant Metho","","346","2814151","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","4) Secant","318","2814150","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","3) Newton's","","318","2814151","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","3) Newton's","288","2814150","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","2) Bisect","","288","2814151","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","2) Bisect Method","260","2814150","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","1) Fixed Point Iteration","","260","2814151","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","\t1) Fixed Point Iteration","222","2814150","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","Methods","","222","2814151","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","
print(""Methods"")","197","2814150","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","f 
","","197","2814151","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","198","2814295","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","r","","198","2814296","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","r",,"199","2814304","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","199","2814322","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"200","2814335","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","m","","200","2814384","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","m",,"201","2814396","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","201","2814543","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k"," ",,"202","2814545","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","M","","202","2814719","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","M",,"203","2814719","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","203","2814735","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","203","2814916","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","203","2814917","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"204","2814924","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","t","","204","2814965","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","t",,"205","2814973","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","h","","205","2815051","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","h",,"206","2815056","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","o","","206","2815152","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","o",,"207","2815152","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","d","","207","2815214","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","d",,"208","2815214","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","s","","208","2815280","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","s",,"209","2815285","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",".","","209","2815420","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k",".",,"210","2815422","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","210","2815441","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","210","2816816","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","n","","210","2816817","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","n",,"211","2816841","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","211","2816884","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"212","2816900","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","w","","212","2816943","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","w",,"213","2816948","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","H","","213","2818033","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","H",,"214","2818048","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","H","213","2818793","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","t","","213","2818915","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","t",,"214","2818925","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","H","","214","2819280","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","H",,"215","2819299","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","ybrid","","215","2819699","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," import ","","220","2819715","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","n","","228","2820964","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","n",,"229","2820965","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e"," ","","229","2820972","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","229","2821092","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","e","","229","2821093","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","e",,"230","2821102","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","w","","230","2821240","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","w",,"231","2821250","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","tonHybrid","","231","2821598","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"c","print(""\t5) Newton Bisect Hybrid"")",,"381","3325402","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e",""," ","399","3328680","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","\","","399","3328901","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"k","\",,"400","3328901","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","","\","399","3330022","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
"e","/","","399","3330413","Root Finding Problem.py","1.1.1 for 2021-2022 @t1","0"
